"years","AI_perc","not_AI_perc"
"1950","0.0217","99.9783"
"1951","0.0737","99.9263"
"1952","0.0854","99.9146"
"1953","0.0222","99.9778"
"1954","0.0443","99.9557"
"1955","0.0513","99.9487"
"1956","0.0857","99.9143"
"1957","0.0924","99.9076"
"1958","0.0864","99.9136"
"1959","0.0314","99.9686"
"1960","0.0496","99.9504"
"1961","0.0917","99.9083"
"1962","0.0818","99.9182"
"1963","0.0845","99.9155"
"1964","0.0701","99.9299"
"1965","0.097","99.903"
"1966","0.0774","99.9226"
"1967","0.0579","99.9421"
"1968","0.079","99.921"
"1969","0.0749","99.9251"
"1970","0.0624","99.9376"
"1971","0.0715","99.9285"
"1972","0.0561","99.9439"
"1973","0.072","99.928"
"1974","0.0557","99.9443"
"1975","0.0594","99.9406"
"1976","0.0541","99.9459"
"1977","0.0663","99.9337"
"1978","0.068","99.932"
"1979","0.075","99.925"
"1980","0.0702","99.9298"
"1981","0.0787","99.9213"
"1982","0.0787","99.9213"
"1983","0.0795","99.9205"
"1984","0.082","99.918"
"1985","0.0878","99.9122"
"1986","0.089","99.911"
"1987","0.086","99.914"
"1988","0.0898","99.9102"
"1989","0.0892","99.9108"
"1990","0.0857","99.9143"
"1991","0.0862","99.9138"
"1992","0.0811","99.9189"
"1993","0.086","99.914"
"1994","0.0818","99.9182"
"1995","0.0827","99.9173"
"1996","0.0856","99.9144"
"1997","0.0894","99.9106"
"1998","0.0894","99.9106"
"1999","0.0892","99.9108"
"2000","0.0925","99.9075"
"2001","0.0925","99.9075"
"2002","0.0867","99.9133"
"2003","0.0905","99.9095"
"2004","0.0963","99.9037"
"2005","0.1015","99.8985"
"2006","0.1131","99.8869"
"2007","0.1187","99.8813"
"2008","0.1268","99.8732"
"2009","0.1208","99.8792"
"2010","0.1345","99.8655"
"2011","0.139","99.861"
"2012","0.1484","99.8516"
"2013","0.1671","99.8329"
"2014","0.2005","99.7995"
"2015","0.2491","99.7509"
"2016","0.3344","99.6656"
"2017","0.4288","99.5712"
"2018","0.5187","99.4813"
"2019","0.5683","99.4317"
"2020","0.6132","99.3868"
"2021","0.5318","99.4682"
"2022","0.4346","99.5654"
