"start_years","AI_22_title","AI_25_title"
"2000","0.0049","0.0049"
"2001","0.0048","0.0048"
"2002","0.0057","0.0057"
"2003","0.0047","0.0047"
"2004","0.0063","0.0063"
"2005","0.0059","0.0059"
"2006","0.0067","0.0067"
"2007","0.0067","0.0067"
"2008","0.0082","0.0082"
"2009","0.0086","0.0086"
"2010","0.0107","0.0107"
"2011","0.0114","0.0114"
"2012","0.012","0.012"
"2013","0.0152","0.0152"
"2014","0.0201","0.0201"
"2015","0.0297","0.0297"
"2016","0.05","0.05"
"2017","0.0818","0.0818"
"2018","0.1178","0.1178"
"2019","0.1434","0.1434"
"2020","0.1758","0.1758"
"2021","0.1849","0.1849"
"2022","0.1909","0.1909"
